MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass,LAT_scaled,LON_scaled
367402580,2023-01-01T00:03:34,38.74891,-85.04466,7.1,248.8,75.0,JINCY,,WDE8190,31.0,0.0,28.0,7.0,,31.0,A,0.677289751347429,0.7718042223811635
368102090,2023-01-01T00:00:47,24.58163,-81.78304,0.0,360.0,511.0,KARIS,IMO0000000,WDK9269,37.0,,16.0,8.0,,,B,0.2627533195615663,0.8062523314856068
414246000,2023-01-01T00:05:50,24.62198,-79.85043,11.2,56.0,58.0,ZHONG GU SHAN DONG,IMO9333060,BORG5,72.0,0.0,222.0,32.0,9.2,72.0,A,0.26393396574224165,0.8266638938798583
366969110,2023-01-01T00:04:13,43.34569,-124.32079,0.1,279.4,511.0,CARTER JON,IMO0000000,WDB9068,30.0,,16.0,8.0,,,B,0.8117921243438415,0.356983240341471
367481670,2023-01-01T00:00:02,38.58894,-90.19804,0.0,360.0,511.0,ALLISON RACHEL,IMO8976554,WDF7157,31.0,0.0,21.0,9.0,,31.0,A,0.6726090086083298,0.7173759945383563
368926299,2023-01-01T00:05:05,30.38911,-81.4099,0.0,142.0,333.0,GOVT VESSEL,,NMSP,35.0,5.0,0.0,0.0,0.0,35.0,A,0.43268093000392077,0.8101933078811503
368125830,2023-01-01T00:00:47,30.39977,-87.24112,0.0,0.0,511.0,MISS JODY,IMO0000000,WDL3869,36.0,,13.0,7.0,,,B,0.43299284297259494,0.7486059669977818
367343510,2023-01-01T00:00:05,41.31263,-89.21108,6.9,269.0,511.0,DALE ROBBINS,,WDE3738,31.0,0.0,18.0,8.0,,31.0,A,0.7523045277122675,0.7277999267443527
316014160,2023-01-01T00:07:03,42.34961,-80.15029,12.7,247.1,248.0,MANITOULIN,IMO8810918,XJBX,80.0,0.0,138.0,23.0,8.4,70.0,A,0.7826466956537006,0.8234968756508622
367346510,2023-01-01T00:09:05,32.72707,-117.20774,0.0,272.7,86.0,PASTIME,,WRC2400,37.0,5.0,30.0,7.0,,37.0,A,0.5010899397826556,0.4321088289953796
338304000,2023-01-01T00:03:44,29.24626,-94.73405,9.3,244.3,244.0,GULF VENTURE,IMO977659700,WDK7433,52.0,1.0,152.0,23.0,25.5,52.0,A,0.399240992269474,0.6694682163855226
367004940,2023-01-01T00:06:49,30.11547,-90.98848,5.8,257.1,511.0,MARGARET,,WDJ4776,31.0,0.0,19.0,7.0,,52.0,A,0.42467418847033894,0.7090276390093506
367702890,2023-01-01T00:03:41,38.38962,-82.59888,6.4,160.2,511.0,JOHN GREER,,WDI4870,31.0,0.0,15.0,,,31.0,A,0.6667768798169487,0.7976357098890479
367799340,2023-01-01T00:05:42,29.84395,-90.06003,0.0,0.0,163.0,WIDGEON,,WDJ6594,31.0,12.0,16.0,8.0,,57.0,A,0.4167294784089512,0.7188336087109162
366014000,2023-01-01T00:02:20,28.41683,-90.66467,8.5,207.8,206.0,ODYSSEA KNIGHT,IMO9302279,KBAF,90.0,0.0,80.0,16.0,5.8,70.0,A,0.3749717639761004,0.7124476089044056
367754870,2023-01-01T00:06:17,29.17775,-91.19434,2.7,88.1,511.0,MISS BEHAVIN,,WDJ2062,30.0,,21.0,7.0,,,B,0.39723638087323926,0.7068534164634253
367533180,2023-01-01T00:07:27,36.8824,-89.12757,0.0,194.4,23.0,ELIZABETH R CHASE,IMO8846199,WDG4120,31.0,0.0,51.0,13.0,,57.0,A,0.6226754290997829,0.7286819306538552
367037240,2023-01-01T00:01:05,46.16814,-123.91425,0.0,0.0,511.0,IRON LADY,IMO8120258,WTK5059,30.0,3.0,21.0,6.0,,30.0,A,0.8943773737279159,0.36127697605419073
367638960,2023-01-01T00:08:43,40.69716,-74.00135,0.0,360.0,511.0,NYPD 351,,WDH6532,55.0,0.0,,,,55.0,A,0.7342957964899548,0.8884398659430102
